Player (61),Pos.,Team,Injury,Games,Cash EarnedWhile Resting
Blake Griffin,C,BKN/DET,Rest,14,6534675
Kyle Lowry,PG,TOR,Rest,11,2260269
Al Horford,C,OKC,Rest,11,2071916
Paul George,SG,LAC,Rest,5,1214055
Kemba Walker,PG,BOS,Rest,5,1177365
Mike Conley,PG,UTA,Rest,4,945264
Kevin Durant,SF,BKN,Rest,3,802581
Victor Oladipo,SG,HOU/IND,Rest,5,719180
Mason Plumlee,C,DET,Rest,13,712335
Kawhi Leonard,SF,LAC,Rest,3,706419
Pascal Siakam,PF,TOR,Rest,3,627930
DeMar DeRozan,SF,SAS,Rest,3,570000
Russell Westbrook,PG,WAS,Rest,2,566560
Aaron Gordon,PF,DEN/ORL,Rest,3,372666
Patty Mills,PG,SAS,Rest,4,363992
Marcus Morris Sr.,SF,LAC,Rest,3,305829
Stephen Curry,PG,GSW,Rest,1,294564
Chris Paul,PG,PHX,Rest,1,283280
Jerami Grant,PF,DET,Rest,2,260958
Kyrie Irving,PG,BKN,Rest,1,228282
Damian Lillard,PG,POR,Rest,1,216623
Kristaps Porzingis,PF,DAL,Rest,1,201834
Devin Booker,SG,PHX,Rest,1,201834
Bradley Beal,SG,WAS,Rest,1,196930
Andre Drummond,C,CLE,Rest,1,196930
D'Angelo Russell,PG,MIN,Rest,1,196228
Dejounte Murray,PG,SAS,Rest,2,195698
Otto Porter Jr.,SF,CHI,Rest,1,195132
Nikola Vucevic,C,CHI,Rest,1,178082
Rudy Gobert,C,UTA,Rest,1,176543
Jakob Poeltl,C,SAS,Rest,3,166476
OG Anunoby,SF,TOR,Rest,6,159132
Fred VanVleet,PG,TOR,Rest,1,145548
Goran Dragic,PG,MIA,Rest,1,123288
Eric Gordon,SG,HOU,Rest,1,115543
Derrick Rose,PG,DET,Rest,2,105246
Andre Iguodala,SF,MIA,Rest,1,102740
Davis Bertans,PF,WAS,Rest,1,102740
Patrick Beverley,PG,LAC,Rest,1,91324
Wayne Ellington,SG,DET,Rest,5,87835
Trevor Ariza,SF,MIA,Rest,1,87671
Cory Joseph,PG,DET,Rest,1,86301
Killian Hayes,PG,DET,Rest,2,72700
Paul Millsap,PF,DEN,Rest,1,68493
Kyle Anderson,PF,MEM,Rest,1,65103
Tristan Thompson,C,BOS,Rest,1,63411
Royce O'Neale,SF,UTA,Rest,1,58219
Luka Doncic,PG,DAL,Rest,1,55133
Louis Williams,SG,LAC,Rest,1,54795
Rajon Rondo,PG,LAC,Rest,1,51370
Jaren Jackson Jr.,PF,MEM,Rest,1,49708
LaMarcus Aldridge,PF,BKN,Rest,2,35134
Nicolas Batum,SF,LAC,Rest,2,35134
Bam Adebayo,C,MIA,Rest,1,35038
Michael Porter Jr.,SF,DEN,Rest,1,24321
Facundo Campazzo,PG,DEN,Rest,1,21233
Grayson Allen,SG,MEM,Rest,1,17434
Reggie Jackson,PG,LAC,Rest,1,15970
Kendrick Nunn,PG,MIA,Rest,1,11396
Luguentz Dort,SG,OKC,Rest,1,10397
Luke Kennard,SG,LAC,Rest,1,0
,,,,154,25092787
