Player (9),Pos.,Team,Injury,Games,Cash EarnedWhile Resting
Zion Williamson,PF,NOP,Rest,3,586296
Jimmy Butler,SF,MIA,Rest,1,259678
C.J. McCollum,SG,NOP,Rest,1,205761
Kyle Lowry,PG,MIA,Rest,1,170589
Jonathan Isaac,PF,ORL,Rest,1,100000
Danilo Gallinari,PF,WAS,Rest,2,78194
Robert Williams III,C,POR,Rest,1,66502
Al Horford,C,BOS,Rest,1,57471
Trey Murphy III,SF,NOP,Rest,1,19306
,,,,12,1543797
