Player (373),Pos.,Team,Injury,Games,Cash EarnedWhile Injured
Kyrie Irving,PG,BKN,Face/Groin/Shoulder/Back/Finger,6,2967666
Marcus Morris Sr.,SF,LAC,Calf/Concussion/Illness/Knee,12,2854404
Cam Reddish,SF,ATL,Achilles/Knee,46,2717526
Nikola Vucevic,C,CHI,Groin,2,2671230
Rajon Rondo,PG,LAC/ATL,Wrist/Groin/Back/Ankle/Knee/Illness,24,2619870
Romeo Langford,SG,BOS,Concussion/Wrist,49,2511971
Lonzo Ball,PG,NOP,Thumb/Toe/Hip/Knee,17,2411776
Domantas Sabonis,PF,IND,Quad/Back/Ankle,10,2407528
Jarrett Culver,SG,MIN,Ankle/Toe,31,2341360
Dennis Smith Jr.,PG,DET/NYK,Knee/Back/Quad,31,2337000
Fred VanVleet,PG,TOR,Hip Flexor/Hip,9,2328768
Avery Bradley,PG,HOU/MIA,Illness/Calf/Knee,27,2315760
Clint Capela,C,ATL,Achilles/Foot/Hand,8,2301369
Lauri Markkanen,PF,CHI,Illness/Shoulder/Calf,21,2259194
Maxi Kleber,PF,DAL,Achilles/Back/Leg/Ankle/Covid 19,22,2177058
Will Barton,SG,DEN,Hamstring,13,2161885
LaMelo Ball,PG,CHA,Wrist,21,2147920
Rodney McGruder,SG,DET,Elbow,31,2062712
Patrick McCaw,SG,TOR,Knee,38,2027378
Ishmael Smith,PG,WAS,Quad,23,1890416
Pascal Siakam,PF,TOR,Shoulder/Knee,6,1883790
Shai Gilgeous-Alexander,PG,OKC,Shoulder/Quad/Knee,37,1872090
Rodney Hood,SF,TOR/POR,Finger/Knee/Hip/Foot/Quad,14,1858086
Devin Booker,SG,PHX,Hamstring,4,1816506
Matthew Dellavedova,PG,CLE,Neck/Abdominal/Concussion,58,1772267
Trey Lyles,PF,SAS,Ankle,28,1770537
Jared Dudley,SF,LAL,Knee/Calf,51,1756700
Davis Bertans,PF,WAS,Calf/Knee,9,1746580
Michael Carter-Williams,PG,ORL,Ankle/Illness/Foot,40,1740431
Norman Powell,SG,POR/TOR,Knee/Quad,3,1711752
Darius Garland,PG,CLE,Ankle/Groin/Shoulder,18,1703184
Tobias Harris,PF,PHI,Knee,4,1647345
Paul Millsap,PF,DEN,Knee,10,1643832
Khris Middleton,SF,MIL,Ankle/Knee/Hip,4,1584674
De'Anthony Melton,SG,MEM,Leg/Shoulder,14,1573440
Zion Williamson,PF,NOP,Finger/Toe,10,1543850
Andre Iguodala,SF,MIA,Hip/Neck,7,1541100
P.J. Tucker,PF,MIL/HOU,Ankle/Calf/Thigh/Groin,13,1528408
Mike Scott,PF,PHI,Hip/Knee,19,1508452
Tomas Satoransky,SG,CHI,Ankle/Back/Covid 19,11,1506846
Seth Curry,SG,PHI,Hip/Hip Flexor/Ankle/Covid 19,14,1502508
Wendell Carter Jr.,C,ORL/CHI,Eye/Ankle/Thigh,18,1492840
James Ennis III,SF,ORL,Calf/Groin,31,1491798
Cory Joseph,PG,DET,Ankle/Illness,9,1467117
Dario Saric,PF,PHX,Ankle/Quad,12,1457188
JaMychal Green,PF,DEN,Shoulder/Calf,12,1430077
Danuel House Jr.,SF,HOU,Ankle/Knee/Back,27,1425704
Derrick White,PG,SAS,Ankle/Toe,31,1372788
Jae Crowder,SF,PHX,Ankle/Foot,12,1331631
Blake Griffin,C,BKN/DET,Knee/Concussion,9,1301271
James Johnson,PF,NOP/DAL,Groin/Knee,6,1298148
Lamar Stevens,SF,CLE,Concussion/Abdominal,15,1292088
Jayson Tatum,PF,BOS,Ankle/Illness/Covid 19,8,1287972
Onyeka Okongwu,C,ATL,Thigh/Achilles/Toe,15,1234389
Cole Anthony,PG,ORL,Ribs/Shoulder,24,1215054
Donovan Mitchell,SG,UTA,Ankle/Concussion,18,1209924
Malik Monk,SG,CHA,Ankle/Foot,17,1208262
Ja Morant,PG,MEM,Back/Ankle,9,1192934
Alec Burks,SG,NYK,Knee/Ankle,15,1191784
D.J. Augustin,PG,HOU/MIL,Ankle/Illness/Calf,14,1187212
Dylan Windler,SF,CLE,Knee/Hand,39,1127280
Marquese Chriss,SF,SAS/GSW,Leg,43,1124370
Udoka Azubuike,C,UTA,Ankle,41,1123903
Andre Drummond,C,LAL/CLE,Toe/Back/Achilles,6,1111778
Delon Wright,PG,DET,Groin,7,1109592
Damian Lillard,PG,POR,Hamstring/Abdominal,3,1083115
Josh Hart,SG,NOP,Thumb,25,1076040
Darius Miller,SF,OKC,Groin/Illness/Achilles,10,1054790
Chuma Okeke,PF,ORL,Ankle/Hip/Knee,27,1047473
Jonas Valanciunas,C,MEM,Back/Concussion,5,1027400
Frank Ntilikina,PG,NYK,Knee,13,1015320
Joe Ingles,SF,UTA,Knee/Achilles,5,993776
David Nwaba,SG,HOU,Wrist/Ankle,40,986947
Abdel Nader,SF,PHX,Knee/Ankle/Concussion,43,960560
Mitchell Robinson,C,NYK,Foot/Hand,41,957264
Jahlil Okafor,C,DET,Knee/Ankle,34,902720
Mohamed Bamba,C,ORL,Illness/Hip/Toe/Covid 19,12,899448
OG Anunoby,SF,TOR,Calf,17,875226
Tyler Herro,SG,MIA,Foot/Hip/Neck,17,863940
Dillon Brooks,SF,MEM,Knee/Thigh,5,858902
Mike Muscala,C,OKC,Ankle/Concussion,29,828761
Ty Jerome,SG,OKC,Calf/Ankle,23,804474
Goga Bitadze,C,IND,Ankle,19,790023
Tyrese Haliburton,PG,SAC,Knee/Calf/Wrist,14,787350
Collin Sexton,PG,CLE,Concussion/Groin/Hamstring/Ankle,10,786393
Garrett Temple,SG,CHI,Hamstring/Ankle,14,783624
Deni Avdija,SF,WAS,Ankle,14,765275
Trae Young,PG,ATL,Ankle/Calf/Knee/Back,9,765204
Chris Boucher,PF,TOR,Knee,9,756857
Richaun Holmes,C,SAC,Knee/Hamstring/Ankle,11,754226
Kentavious Caldwell-Pope,SG,LAL,Ankle,5,744228
Thaddeus Young,PF,CHI,Leg,4,742192
Josh Jackson,SG,DET,Teeth/Illness/Ankle,9,718322
Luka Doncic,PG,DAL,Elbow/Back/Quad,5,716729
Rui Hachimura,PF,WAS,Illness/Knee/Shoulder/Eye,12,707146
Nickeil Alexander-Walker,SG,NOP,Ankle,18,703659
Maurice Harkless,SF,MIA,Illness/Thigh/Forearm,13,694820
Jrue Holiday,PG,MIL,Knee,2,687976
Rudy Gay,PF,SAS,Heel/Back/Foot/Hip,4,671230
Nicolas Claxton,C,BKN,Knee,32,655011
Terry Rozier,PG,CHA,Knee/Ankle,3,647260
Derrick Jones Jr.,SF,POR,Quad/Foot,5,634110
Derrick Rose,PG,NYK/DET,Ankle/Knee,5,631476
Jordan Clarkson,SG,UTA,Ankle,4,630136
Kevon Looney,C,GSW,Ankle,10,627437
Jontay Porter,PF,MEM,Knee,18,611658
Doug McDermott,SF,IND,Ankle/Knee,6,602736
Troy Brown Jr.,SG,CHI,Ankle,15,600652
Obi Toppin,PF,NYK,Calf,10,599436
Chris Paul,PG,PHX,Hamstring,1,566560
Nassir Little,SF,POR,Back/Thumb/Illness/Knee/Covid 19,19,560217
Joe Harris,SG,BKN,Hip,3,550390
John Collins,PF,ATL,Ankle,9,538422
Timothe Luwawu-Cabarrot,SG,BKN,Knee/Hip,5,537199
Zach LaVine,SG,CHI,Knee/Ankle,3,534248
Monte Morris,PG,DEN,Hamstring/Quad/Shoulder,25,531270
Danny Green,SF,PHI,Hip,3,526230
Elfrid Payton,PG,NYK,Hamstring,9,522416
Josh Richardson,SG,DAL,Hamstring/Calf,4,520968
P.J. Dozier,PG,DEN,Thigh/Hamstring,22,519182
DaQuan Jeffries,SG,HOU/SAC,Ankle/Back,25,514904
Alen Smailagic,PF,GSW,Knee,23,509453
Eric Paschall,PF,GSW,Hip/Wrist/Illness/Knee,26,509453
Wayne Ellington,SG,DET,Calf/Back/Groin,15,509443
Cameron Payne,PG,PHX,Knee/Ankle,12,501017
Alex Caruso,SG,LAL,Foot/Back/Head/Neck/Hand,10,489736
Jarrett Allen,C,CLE,Concussion,8,482040
Nerlens Noel,C,NYK,Ankle/Shoulder/Knee/Groin,8,479458
Darius Bazley,PF,OKC,Shoulder,16,476557
Grayson Allen,SG,MEM,Abdominal/Hand/Concussion/Ankle,13,470718
Bam Adebayo,C,MIA,Knee,5,455494
Sterling Brown,SG,HOU,Knee/Leg,21,448461
Derrick Favors,C,UTA,Knee/Back,4,443877
Isaac Okoro,SG,CLE,Foot,5,438420
Reggie Bullock,SF,NYK,Ankle/Neck/Hip,7,431505
Cedi Osman,SF,CLE,Ankle/Back,4,423868
Robert Covington,PF,POR,Concussion,2,415695
Rodions Kurucs,SF,MIL/HOU/BKN,Biceps/Abdominal/Oblique/Ankle,14,414562
Furkan Korkmaz,SG,PHI,Ankle/Groin,18,410516
Devonte' Graham,PG,CHA,Knee/Quad/Groin,17,410256
Andrew Wiggins,SF,GSW,Knee,1,404686
Sekou Doumbouya,SF,DET,Neck/Migraine/Concussion,8,401642
Robert Woodard II,SG,SAC,Back/Hamstring,19,400686
Dejounte Murray,PG,SAS,Back/Knee/Foot,3,391396
Tim Hardaway Jr.,SG,DAL,Ankle/Groin,2,389898
Robert Williams III,C,BOS,Toe/Knee/Illness/Hip,16,389312
Chandler Hutchison,SF,CHI,Covid 19,11,384928
Louis Williams,SG,ATL/LAC,Illness/Hip,3,383565
Hassan Whiteside,C,SAC,Back/Knee/Hip,11,381384
DeMar DeRozan,SF,SAS,Quad,1,380000
Lonnie Walker IV,SG,SAS,Wrist/Illness,11,376352
Hamidou Diallo,SG,DET/OKC,Knee/Groin,14,376068
Chris Silva,F,MIA,Hip Flexor,19,363895
Austin Rivers,SG,NYK,Illness/Achilles/Groin,8,359595
Ricky Rubio,PG,MIN,Back,2,349314
Jalen Smith,PF,PHX,Ankle,6,348960
Harry Giles,C,POR,Calf,13,344970
Tyler Johnson,SG,BKN,Knee/Migraine/Thigh,12,333456
Jaylen Nowell,SG,MIN,Leg/Ankle,16,332704
Luguentz Dort,SG,OKC,Knee/Hip/Shoulder/Concussion/Toe,19,332704
Buddy Hield,SG,SAC,Illness,1,331532
Kyle Anderson,PF,MEM,Thumb/Illness,2,325515
Aleksej Pokusevski,PF,OKC,Leg/Arm/Concussion,9,324912
Brandon Clarke,PF,MEM,Thigh/Hip/Calf,10,320904
Daniel Theis,C,CHI/BOS,Hip/Finger,6,308223
Cameron Johnson,SF,PHX,Wrist,6,290080
Deandre Ayton,C,PHX,Knee,3,274472
Mason Plumlee,C,DET,Concussion/Elbow,2,273975
Juwan Morgan,SF,UTA,Heel/Calf/Illness,13,270322
Jabari Parker,PF,SAC,Back,3,267126
Chris Clemons,PG,HOU,Achilles,13,265856
Julius Randle,PF,NYK,Thigh,1,258904
Paul Watson,SG,TOR,Knee,14,257452
Tristan Thompson,C,BOS,Pectoral/Chest,3,253644
PJ Washington,PF,CHA,Ankle/Foot,5,248031
Jeff Green,PF,BKN,Shoulder,4,245938
Aron Baynes,C,TOR,Foot,2,239725
Wenyen Gabriel,PF,NOP,Knee,9,233100
JaKarr Sampson,SF,IND,Concussion/Back/Knee,10,232128
Eric Bledsoe,PG,NOP,Eye,1,231164
Immanuel Quickley,PG,NYK,Ankle/Hip,8,230736
Wesley Matthews,SG,LAL,Achilles/Neck,5,223335
Josh Okogie,SG,MIN,Hamstring,6,217896
Omari Spellman,PF,MIN,Knee,8,217888
Gary Trent Jr.,SG,TOR/POR,Leg/Ankle/Calf,10,216524
Zeke Nnaji,PF,DEN,Ankle/Illness,6,211900
Donte DiVincenzo,SG,MIL,Achilles/Toe/Hip/Foot,5,208500
Edmond Sumner,SG,IND,Knee/Illness,9,207130
Cristiano Felicio,PF,CHI,Illness,2,206276
Damyean Dotson,SG,CLE,Knee,8,205485
Jordan Nwora,SF,MIL,Ankle,14,203049
Landry Shamet,SG,BKN,Knee/Ankle,7,200410
Elijah Hughes,SF,UTA,Illness/Ankle,17,196896
Torrey Craig,SF,MIL,Nose,9,195483
Patrick Williams,SF,CHI,Hip,1,193652
Luka Samanic,PF,SAS,Hand/Illness,6,193450
Isaiah Hartenstein,C,CLE,Head/Concussion,10,188700
Jahmi'us Ramsey,SG,SAC,Hamstring/Groin,12,184923
Raul Neto,PG,WAS,Hamstring/Ribs/Groin,8,180544
Kevin Porter Jr.,PG,HOU,Ankle/Quad,9,176505
Brook Lopez,C,MIL,Back,1,173940
Taj Gibson,C,NYK,Ankle,3,172062
Pat Connaughton,SG,MIL,Groin,3,169120
Payton Pritchard,PG,BOS,Knee,6,167328
Kelly Olynyk,PF,HOU,Ankle,1,167100
Isaiah Roby,PF,OKC,Toe/Concussion/Foot,8,166352
John Konchar,SG,MEM,Ankle,5,158224
Coby White,PG,CHI,Neck,2,152676
Dwight Powell,C,DAL,Illness,1,151782
Kyle Kuzma,PF,LAL,Thumb/Calf/Heel,4,146388
Luke Kennard,SG,LAC,Knee,1,144488
Semi Ojeleye,PF,BOS,Oblique,5,144084
John Henson,PF,NYK,Calf,5,143019
DeAndre Jordan,C,BKN,Illness,1,142132
Cody Martin,SF,CHA,Ankle,8,135161
Iman Shumpert,SG,BKN,Hamstring,6,128106
Kira Lewis Jr.,PG,NOP,Calf,3,124665
Trey Burke,PG,DAL,Calf/Illness,3,123288
Shake Milton,SG,PHI,Ankle,5,116550
Daniel Gafford,C,WAS,Ankle,6,114367
Jalen Lecque,PG,IND,Ankle,5,114367
Matisse Thybulle,SG,PHI,Hand,4,111420
De'Aaron Fox,PG,SAC,Knee,1,110954
Carmelo Anthony,PF,POR,Ankle/Illness,3,105402
Nicolas Batum,SF,LAC,Concussion/Groin,3,105402
Frank Kaminsky,C,PHX,Illness,4,103168
Robin Lopez,C,WAS,Ankle,1,100000
Xavier Tillman,C,MEM,Knee,5,97944
Aaron Holiday,PG,IND,Toe,4,96396
Javonte Green,SG,BOS,Illness,5,93573
Kendrick Nunn,PG,MIA,Elbow/Ankle,4,91168
Dwight Howard,C,PHI,Knee,2,87835
Facundo Campazzo,PG,DEN,Knee,2,84932
Khem Birch,C,ORL,Illness,2,82192
Juancho Hernangomez,PF,MIN,Quad,1,78328
Anfernee Simons,SG,POR,Illness/Hamstring,2,77125
Jeff Teague,PG,MIL/BOS,Abdominal/Ankle,3,75803
Kevin Huerter,SG,ATL,Ankle/Shoulder,3,75668
Gorgui Dieng,C,SAS,Shoulder,6,75339
Jaxson Hayes,C,NOP,Wrist,1,69934
Glenn Robinson III,SF,SAC,Knee,3,69470
DeMarcus Cousins,C,LAC/HOU,Foot/Ankle,3,66177
Markieff Morris,PF,LAL,Ankle,2,63880
JaVale McGee,C,CLE,Knee,1,57534
Bruce Brown Jr.,SG,BKN,Knee,3,56980
Yuta Watanabe,SF,TOR,Ankle,7,55500
CJ Elleby,SF,POR,Illness/Foot,3,55377
Theo Maledon,PG,OKC,Foot/Ankle,2,54796
Dorian Finney-Smith,PF,DAL,Leg,1,54794
Bobby Portis,PF,MIL,Illness,1,49630
Nemanja Bjelica,PF,MIA,Illness,1,48973
Aaron Nesmith,SF,BOS,Back,1,47376
Ben McLemore,SF,HOU,Ankle,2,46911
Dewayne Dedmon,C,MIA,Knee,1,44679
DeAndre' Bembry,SF,TOR,Hamstring,2,35694
Marc Gasol,C,LAL,Hamstring,1,35134
Brandon Goodwin,PG,ATL,Illness,2,34965
Wesley Iwundu,SF,NOP,Shoulder,2,34497
Bryn Forbes,SG,SAS,Toe,1,32016
Reggie Jackson,PG,LAC,Achilles,1,31940
Talen Horton-Tucker,SG,LAL,Calf,2,31191
Naz Reid,C,MIN,Wrist,2,31191
Jordan Poole,SG,GSW,Ankle,1,28264
Sam Merrill,SG,MIL,Ankle,2,24612
Tony Bradley,C,OKC,Ankle,1,24261
Damion Lee,SG,GSW,Toe,1,24148
Chimezie Metu,C,SAC,Back/Wrist,19,23975
Drew Eubanks,C,SAS,Migraine,1,22200
Anthony Gill,PF,WAS,Stomach,2,18459
Ersan Ilyasova,PF,UTA,Hamstring,1,16364
Nick Richards,C,CHA,Ankle,2,13698
Justin James,SG,SAC,Ankle,1,10397
Deividas Sirvydis,SF,DET,Leg,1,6153
Khyri Thomas,SG,HOU,Achilles,1,1712
Axel Toupane,SG,MIL,Oblique,11,0
Greg Whittington,SF,DEN,Knee,37,0
Chasson Randle,PG,ORL,Groin,1,0
Frank Jackson,PG,DET,Ankle/Illness,13,0
Frank Mason III,PG,ORL,Groin,2,0
Keita Bates-Diop,SF,SAS,Hamstring/Illness,20,0
Kostas Antetokounmpo,PF,LAL,Knee,21,0
Jordan McLaughlin,PG,MIN,Illness,2,0
Chris Chiozza,PG,BKN,Hand,18,0
Gabe Vincent,PG,MIA,Knee,12,0
Quinndary Weatherspoon,SG,SAS,Knee,17,0
Jarrell Brantley,PF,UTA,Undisclosed,2,0
Brian Bowen II,SG,IND,Groin/Ankle,12,0
Adam Mokoka,SG,CHI,Concussion,6,0
Tacko Fall,C,BOS,Ankle/Eye,6,0
Juan Toscano-Anderson,SF,GSW,Concussion/Achilles,3,0
Saben Lee,PG,DET,Undisclosed,1,0
Jay Scrubb,SG,LAC,Foot,20,0
Grant Riller,PG,CHA,Knee,17,0
Reggie Perry,C,BKN,Groin,3,0
Jalen Harris,PG,TOR,Foot/Hip,18,0
Naji Marshall,SF,NOP,Ankle,5,0
Josh Hall,SF,OKC,Knee/Concussion,20,0
Sean McDermott,SF,MEM,Foot/Shoulder,15,0
Brodric Thomas,G,HOU,Ankle,3,0
,,,,5412,721255471
