Player (373),Pos.,Team,Injury,Games,Cash EarnedWhile Injured
Klay Thompson,SG,GSW,Achilles,72,28968390
Kevin Love,C,CLE,Calf/Heel,47,21195702
Otto Porter Jr.,SF,ORL/CHI,Foot/Back,41,17366748
Anthony Davis,C,LAL,Thigh/Calf/Achilles/Quad,36,17043760
LeBron James,PF,LAL,Ankle,27,16386247
John Wall,PG,HOU,Hamstring/Achilles/Knee,30,15258672
Kevin Durant,SF,BKN,Thigh/Hamstring/Achilles,27,14981512
James Harden,SG,BKN/HOU,Hamstring/Neck/Thigh/Ankle,24,12998128
D'Angelo Russell,PG,MIN,Leg/Quad,29,11577452
C.J. McCollum,SG,POR,Foot,25,11259136
T.J. Warren,SF,IND,Foot,68,10945144
Spencer Dinwiddie,PG,BKN,Knee ACL,69,10904828
Markelle Fultz,PG,ORL,Knee ACL,64,10857801
Gordon Hayward,SF,CHA,Foot/Hand/Back/Hip,28,10541070
Kemba Walker,PG,BOS,Back/Oblique/Knee/Illness,23,10271679
Kristaps Porzingis,PF,DAL,Knee/Ankle/Wrist/Back,28,10156707
Eric Gordon,SG,HOU,Groin/Knee/Leg,40,9127897
Karl-Anthony Towns,C,MIN,Covid 19/Wrist,20,8477028
Joel Embiid,C,PHI,Knee/Shoulder/Back,20,8296063
Gary Harris,SG,ORL/DEN,Groin/Thigh,29,8267994
Dante Exum,PG,HOU/CLE,Calf/Hip,68,8227428
Victor Oladipo,SG,MIA/HOU/IND,Knee/Quad/Foot,28,8054816
Jamal Murray,PG,DEN,Knee ACL/Knee,23,7849128
Justise Winslow,SF,MEM,Thigh/Hip,39,7479444
Thomas Bryant,C,WAS,Knee ACL,60,7134750
Mike Conley,PG,UTA,Hamstring,17,7089480
Kawhi Leonard,SF,LAC,Foot/Back/Leg/Face,15,7064190
Bogdan Bogdanovic,SG,ATL,Hamstring/Knee,28,6780840
Jusuf Nurkic,C,POR,Knee/Calf/Wrist,35,6444440
Caris LeVert,SG,IND,Knee/Kidney,25,6215104
Paul George,SG,LAC,Foot/Illness/Ankle,9,6070275
Jonathan Isaac,PF,ORL,Knee ACL,72,5989824
Jaren Jackson Jr.,PF,MEM,Knee,58,5964960
LaMarcus Aldridge,PF,BKN/SAS,Illness/Hip/Knee,13,5935872
Christian Wood,C,HOU,Ankle/Illness/Knee,31,5705600
Patrick Beverley,PG,LAC,Hand/Knee,32,5662088
Danilo Gallinari,PF,ATL,Back/Foot/Ankle/Achilles,22,5609604
Myles Turner,C,IND,Toe/Ankle/Hand,25,5513698
Aaron Gordon,PF,DEN/ORL,Calf/Ankle/Hip/Hamstring,18,5217324
Zach Collins,C,POR,Ankle,70,5184060
Cody Zeller,C,CHA,Shoulder/Hip/Hand,19,5068176
Stephen Curry,PG,GSW,Tailbone/Illness,8,5007588
Jeremy Lamb,SG,IND,Knee/Toe/Knee ACL,36,4962342
Steven Adams,C,NOP,Toe/Ankle/Calf,14,4902274
De'Andre Hunter,SF,ATL,Knee,48,4829420
Ben Simmons,PG,PHI,Back/Illness/Knee/Calf,12,4814130
Evan Fournier,SG,BOS/ORL,Knee/Groin/Back,18,4773958
Kyle Lowry,PG,TOR,Back/Foot/Ankle,14,4726017
Larry Nance Jr.,PF,CLE,Illness/Finger/Wrist,24,4651542
Meyers Leonard,C,OKC/MIA,Shoulder,36,4635648
Jerami Grant,PF,DET,Knee/Quad,17,4566765
Taurean Prince,PF,CLE,Ankle/Shoulder,30,4446912
Terrence Ross,SF,ORL,Back/Knee/Hamstring,26,4253436
Russell Westbrook,PG,WAS,Quad,2,4249200
Marcus Smart,PG,BOS,Calf/Illness/Thumb,23,4167678
Goran Dragic,PG,MIA,Back/Ankle/Groin,18,4068504
Kris Dunn,PG,ATL,Ankle,62,4048724
Malik Beasley,SG,MIN,Hamstring,23,4016012
Serge Ibaka,C,LAC,Back/Illness,31,3994893
George Hill,PG,OKC,Thumb/Neck,30,3941340
Jaylen Brown,SF,BOS,Wrist/Ankle/Shoulder/Illness/Hip/Knee,14,3936825
J.J. Redick,SG,DAL/NOP,Heel/Foot/Hamstring,23,3921940
Tony Snell,SG,ATL,Achilles/Ankle/Foot,23,3920505
Malcolm Brogdon,PG,IND,Hamstring/Hip/Back/Knee,16,3828087
Giannis Antetokounmpo,PF,MIL,Ankle/Knee/Back,10,3770980
Draymond Green,PF,GSW,Finger/Illness/Ankle/Foot,9,3657024
Harrison Barnes,PF,SAC,Thigh/Hip/Foot,14,3651936
Al-Farouq Aminu,PF,ORL,Knee,27,3595428
Kelly Oubre Jr.,SF,GSW,Wrist,17,3446065
James Wiseman,C,GSW,Knee/Wrist,30,3408372
Killian Hayes,PG,DET,Illness/Hip,44,3380550
Brandon Ingram,SF,NOP,Ankle/Foot,11,3363912
Bradley Beal,SG,WAS,Hamstring/Hip/Knee,9,3347810
Marvin Bagley III,PF,SAC,Groin/Hand/Calf,29,3253935
