Player (44),Pos.,Team,Injury,Games,Cash EarnedWhile Injured
John Wall,PG,HOU,Personal,82,44056180
Ben Simmons,PG,BKN/PHI,Personal,58,22192326
Kyrie Irving,PG,BKN,Personal,50,19063460
Goran Dragic,PG,SAS/TOR,Personal,35,9831712
Kyle Lowry,PG,MIA,Personal,13,3721944
Kemba Walker,PG,NYK,Personal,23,2207348
Richaun Holmes,C,SAC,Personal,13,1671068
Rui Hachimura,PF,WAS,Personal,26,1553970
Willie Cauley-Stein,C,DAL,Personal,18,848268
Bradley Beal,SG,WAS,Personal,2,775268
Gary Harris,SG,ORL,Personal,2,706278
Paul Millsap,PF,PHI/BKN,Personal,21,668008
Marcus Morris Sr.,SF,LAC,Personal,4,628712
Norman Powell,SG,POR,Personal,3,535080
Robert Covington,PF,LAC,Personal,5,522004
Al Horford,C,BOS,Personal,2,465516
Khris Middleton,SF,MIL,Personal,1,408046
Reggie Bullock,SF,DAL,Personal,4,383635
Jeremy Lamb,SG,SAC,Personal,3,362070
Serge Ibaka,C,LAC,Personal,2,279335
Domantas Sabonis,PF,SAC,Personal,1,212644
Justise Winslow,SF,LAC,Personal,4,156996
Daniel Theis,C,HOU,Personal,1,142764
Jeff Green,PF,DEN,Personal,3,129310
Robert Williams III,C,BOS,Personal,3,126276
Taj Gibson,C,NYK,Personal,2,112872
Alec Burks,SG,NYK,Personal,1,109610
JaMychal Green,PF,DEN,Personal,1,94252
Louis Williams,SG,ATL,Personal,2,86208
Damion Lee,SG,GSW,Personal,3,76874
Eric Paschall,PF,UTA,Personal,4,71715
Kevin Pangos,PG,CLE,Personal,3,57558
Tony Snell,SG,ATL,Personal,2,54936
Gorgui Dieng,C,ATL,Personal,1,45978
Anfernee Simons,SG,POR,Personal,1,45274
Danuel House Jr.,SF,HOU,Personal,1,44758
Alex Len,C,SAC,Personal,1,42896
Nicolas Batum,SF,LAC,Personal,1,36438
Sterling Brown,SG,DAL,Personal,1,34482
Dwight Howard,C,LAL,Personal,1,30364
Day'Ron Sharpe,C,BKN,Personal,1,23092
DeMarcus Cousins,C,MIL,Personal,1,23036
Xavier Tillman,C,MEM,Personal,1,17448
Matisse Thybulle,SG,PHI,Personal,1,16323
,,,,408,112672332
