Player (50),Pos.,Team,Injury,Games,Cash EarnedWhile Resting
Mike Conley,PG,UTA,Rest,6,724140
Klay Thompson,SG,GSW,Rest,3,654840
Stephen Curry,PG,GSW,Rest,2,526218
Kevin Durant,SF,BKN,Rest,2,470332
Paul George,SG,LAC,Rest,2,452240
Spencer Dinwiddie,PG,WAS,Rest,4,394088
Derrick Favors,C,OKC,Rest,7,391069
Malcolm Brogdon,PG,IND,Rest,3,374139
Devin Booker,SG,PHX,Rest,2,363800
Joel Embiid,C,PHI,Rest,2,362982
Kyle Lowry,PG,MIA,Rest,2,310162
DeMar DeRozan,SF,CHI,Rest,2,298850
Draymond Green,PF,GSW,Rest,1,276170
Marcus Morris Sr.,SF,LAC,Rest,3,269448
James Harden,SG,BKN,Rest,1,254660
Fred VanVleet,PG,TOR,Rest,2,226160
Jimmy Butler,SF,MIA,Rest,1,206990
Pascal Siakam,PF,TOR,Rest,1,189678
Karl-Anthony Towns,C,MIN,Rest,1,181900
Kristaps Porzingis,PF,DAL,Rest,1,181900
Andrew Wiggins,SF,GSW,Rest,1,181491
Reggie Jackson,PG,LAC,Rest,3,179043
Chris Paul,PG,PHX,Rest,1,177011
Nikola Jokic,C,DEN,Rest,1,175347
Donovan Mitchell,SG,UTA,Rest,1,161514
Kemba Walker,PG,NYK,Rest,3,150501
Kentavious Caldwell-Pope,SG,WAS,Rest,2,149872
Deandre Ayton,C,PHX,Rest,2,145206
Kelly Olynyk,PF,DET,Rest,2,140174
Josh Hart,SG,POR,Rest,2,137932
Nikola Vucevic,C,CHI,Rest,1,137931
Zach LaVine,SG,CHI,Rest,1,112069
Andre Iguodala,SF,GSW,Rest,7,106274
Eric Gordon,SG,HOU,Rest,1,104706
Norman Powell,SG,LAC,Rest,1,89180
Derrick White,PG,SAS,Rest,1,87233
Jonas Valanciunas,C,NOP,Rest,1,80460
Mike Muscala,C,OKC,Rest,4,80460
Otto Porter Jr.,SF,GSW,Rest,4,68670
Cade Cunningham,PG,DET,Rest,1,57759
Jae Crowder,SF,PHX,Rest,1,55867
Patty Mills,PG,BKN,Rest,1,33851
LaMarcus Aldridge,PF,BKN,Rest,2,30364
Cory Joseph,PG,DET,Rest,1,28218
Dwight Howard,C,LAL,Rest,1,15182
Blake Griffin,C,BKN,Rest,1,15182
Keldon Johnson,SG,SAS,Rest,1,12332
Semi Ojeleye,PF,MIL,Rest,1,10283
Nicolas Claxton,C,BKN,Rest,1,10245
Miles McBride,PG,NYK,Rest,1,5318
,,,,99,9849441
