Player (46),Pos.,Team,Injury,Games,Cash EarnedWhile Injured
Al Horford,C,OKC,Personal,33,11866428
Andre Drummond,C,CLE,Personal,16,7680270
Trevor Ariza,SF,OKC,Personal,40,7276693
Kyrie Irving,PG,BKN,Personal,9,4793922
DeMar DeRozan,SF,SAS,Personal,8,2470000
Larry Nance Jr.,PF,CLE,Personal,12,2245572
Nemanja Bjelica,PF,SAC,Personal,6,685622
Gary Harris,SG,DEN,Personal,2,656190
Chandler Hutchison,SF,CHI,Personal,12,518816
Tyrell Terry,PG,DAL,Personal,31,494760
Will Barton,SG,DEN,Personal,3,469975
Kyle Lowry,PG,TOR,Personal,1,410958
Karl-Anthony Towns,C,MIN,Personal,2,403668
Avery Bradley,PG,HOU,Personal,6,385960
Terrance Ferguson,SF,PHI,Personal,6,378196
Derrick Rose,PG,NYK/DET,Personal,3,368361
Kevin Porter Jr.,PG,CLE,Personal,14,364777
Davis Bertans,PF,WAS,Personal,2,308220
Patrick Patterson,PF,LAC,Personal,5,295120
P.J. Tucker,PF,HOU,Personal,3,272930
Luke Kornet,C,CHI,Personal,5,246576
Jake Layman,SF,MIN,Personal,2,206088
Patrick Beverley,PG,LAC,Personal,1,182648
Alex Caruso,SG,LAL,Personal,4,150688
Victor Oladipo,SG,HOU,Personal,1,143836
D.J. Augustin,PG,MIL,Personal,1,136986
T.J. McConnell,PG,IND,Personal,3,119865
Dorian Finney-Smith,PF,DAL,Personal,2,109588
Desmond Bane,SG,MEM,Personal,4,92841
Marc Gasol,C,LAL,Personal,2,87835
Danuel House Jr.,SF,HOU,Personal,2,76377
Donovan Mitchell,SG,UTA,Personal,1,71172
Sekou Doumbouya,SF,DET,Personal,2,70878
Isaiah Stewart,C,DET,Personal,2,64131
Langston Galloway,SG,PHX,Personal,2,55576
PJ Washington,PF,CHA,Personal,1,55118
Jaden McDaniels,PF,MIN,Personal,2,53828
Romeo Langford,SG,BOS,Personal,1,49742
Josh Okogie,SG,MIN,Personal,1,36316
Brandon Clarke,PF,MEM,Personal,1,35656
Hamidou Diallo,SG,DET,Personal,2,34188
Terance Mann,SG,LAC,Personal,1,20794
Axel Toupane,SG,MIL,Personal,1,0
Frank Jackson,PG,DET,Personal,4,0
Jaylen Adams,PG,MIL,Personal,1,0
Keljin Blevins,G,POR,Personal,3,0
,,,,266,44447165
