Player (411),Pos.,Team,Injury,Games,Cash EarnedWhile Injured
Kawhi Leonard,SF,LAC,Knee,82,38892640
Jamal Murray,PG,DEN,Knee,82,29298415
Damian Lillard,PG,POR,Abdominal,53,24873200
Paul George,SG,LAC,Injury Management/Elbow,49,23742600
Klay Thompson,SG,GSW,Injury Management/Illness/Knee/Achilles,48,20736600
Jonathan Isaac,PF,ORL,Knee,82,17300000
Anthony Davis,C,LAL,Ankle/Knee/Illness,42,17070984
Joe Harris,SG,BKN,Ankle,68,14464330
Bradley Beal,SG,WAS,Wrist/Hip,34,13761007
Markelle Fultz,PG,ORL,Knee/Injury Management,63,12801780
T.J. Warren,SF,IND,Foot,76,11450167
Kevin Durant,SF,BKN,Knee/Shoulder,22,11287968
Brook Lopez,C,MIL,Injury Management/Back,68,11085250
Gordon Hayward,SF,CHA,Ankle/Foot/Back,29,10834929
Zion Williamson,PF,NOP,Foot,82,10671678
Ricky Rubio,PG,IND/CLE,Knee ACL,47,10434498
LeBron James,PF,LAL,Ankle/Knee/Abdominal,24,10413480
Draymond Green,PF,GSW,Injury Management/Back/Calf/Hip/Thigh,33,9665950
Kristaps Porzingis,PF,WAS/DAL,Injury Management/Knee/Toe/Ankle/Back,24,9640700
Derrick Rose,PG,NYK,Ankle,56,9272520
James Wiseman,C,GSW,Knee,82,9166842
Lonzo Ball,PG,CHI,Knee,42,9088455
Tim Hardaway Jr.,SG,DAL,Foot,34,9061522
Malcolm Brogdon,PG,IND,Back/Concussion/Achilles/Illness/Hamstring,32,8979336
Bam Adebayo,C,MIA,Thumb/Knee,25,8560242
Myles Turner,C,IND,Foot/Illness,40,8548875
Ben Simmons,PG,BKN,Back,22,8535510
Brandon Ingram,SF,NOP,Hamstring/Ankle/Achilles/Hip,27,8467750
Dario Saric,PF,PHX,Knee,82,8461084
Stephen Curry,PG,GSW,Foot/Toe/Hand/Quad/Hip,16,8156379
James Harden,SG,PHI/BKN,Knee/Injury Management/Hamstring/Hand,12,8149120
Jerami Grant,PF,DET,Calf/Knee/Thumb/Elbow,33,7932033
