Player (411),Pos.,Team,Injury,Games,Cash EarnedWhile Injured
C.J. McCollum,SG,POR,Lung,18,7449960
De'Aaron Fox,PG,SAC,Hand/Ankle,19,6622074
Dillon Brooks,SF,MEM,Hip/Injury Management/Ankle/Hamstring/Hand,43,6520695
Eric Bledsoe,PG,POR,Achilles,28,6354187
John Collins,PF,ATL,Foot,23,6212648
Patrick Williams,SF,CHI,Wrist,65,6099665
OG Anunoby,SF,TOR,Quad/Finger/Hip,32,5818995
Eric Gordon,SG,HOU,Groin/Knee/Hamstring,23,5654124
Collin Sexton,PG,CLE,Knee,71,5510292
Rudy Gobert,C,UTA,Leg/Foot/Calf/Shoulder,12,5484537
Norman Powell,SG,LAC/POR,Toe/Quad/Knee,26,5261620
T.J. McConnell,PG,IND,Wrist,55,5258566
Joe Ingles,SF,POR/UTA,Knee ACL/Ankle/Back,32,5146056
Nerlens Noel,C,NYK,Foot/Knee/Back,44,5108075
Jrue Holiday,PG,MIL,Ankle/Heel,13,5022220
Chris Paul,PG,PHX,Injury Management/Thumb,16,4956308
Kendrick Nunn,PG,LAL,Knee/Ankle,63,4885120
Jarrett Allen,C,CLE,Finger/Illness,22,4827606
Kelly Olynyk,PF,DET,Knee,33,4765916
Giannis Antetokounmpo,PF,MIL,Knee/Ankle/Illness/Calf,10,4748520
Larry Nance Jr.,PF,NOP/POR,Knee,36,4731034
Michael Porter Jr.,SF,DEN,Back,73,4624119
Jaylen Brown,SF,BOS,Knee/Ankle/Hamstring,16,4566496
D'Angelo Russell,PG,MIN,Hamstring/Shin/Ankle,12,4484766
Donovan Mitchell,SG,UTA,Illness/Calf/Concussion/Back/Ankle,14,4199364
Thomas Bryant,C,WAS,Back/Ankle/Knee,40,4084256
Bogdan Bogdanovic,SG,ATL,Knee/Ankle,15,3931024
Zach Collins,C,SAS,Ankle,46,3902310
Pascal Siakam,PF,TOR,Shoulder,11,3793560
Alex Caruso,SG,CHI,Back/Wrist/Foot/Hamstring,35,3657450
Doug McDermott,SF,SAS,Ankle/Illness/Teeth/Knee,23,3556035
Devin Booker,SG,PHX,Back/Hamstring,8,3456100
Caris LeVert,SG,CLE/IND,Foot/Calf/Back,19,3419550
Derrick Favors,C,OKC,Back/Illness,30,3407887
Bojan Bogdanovic,SF,UTA,Calf/Leg/Knee/Finger,13,3402656
Davis Bertans,PF,DAL/WAS,Knee/Foot/Illness/Ankle,17,3310344
Josh Hart,SG,POR/NOP,Knee/Ankle/Quad,23,3241402
Domantas Sabonis,PF,SAC/IND,Knee/Ankle/Calf,14,3189660
Patrick Beverley,PG,MIN,Ankle/Ear/Groin/Adductor/Calf,20,3127590
Jusuf Nurkic,C,POR,Foot,23,3103470
Zach LaVine,SG,CHI,Knee/Back,12,3025863
Lauri Markkanen,PF,CLE,Ankle,12,2975874
De'Andre Hunter,SF,ATL,Knee/Wrist/Illness,29,2949276
Fred VanVleet,PG,TOR,Injury Management/Knee/Groin,11,2940080
Marcus Morris Sr.,SF,LAC,Knee,16,2874112
Khris Middleton,SF,MIL,Wrist/Knee,7,2856322
Jalen Suggs,SG,ORL,Ankle/Thumb,34,2728126
Kira Lewis Jr.,PG,NOP,Knee ACL,55,2658007
Ja Morant,PG,MEM,Knee/Back/Ankle/Thigh,25,2649216
Jimmy Butler,SF,MIA,Toe/Illness,6,2483880
Nikola Jokic,C,DEN,Illness/Toe/Wrist,6,2454858
Onyeka Okongwu,C,ATL,Concussion/Shoulder,28,2420658
Khem Birch,C,TOR,Knee/Nose,27,2335616
Deandre Ayton,C,PHX,Ankle/Illness/Leg,16,2323296
Michael Carter-Williams,PG,ORL,Ankle,56,2162124
Marvin Bagley III,PF,DET/SAC,Hip/Ankle/Shoulder/Illness,18,2145396
Cameron Payne,PG,PHX,Knee/Illness/Wrist/Hamstring,24,2129292
Derrick Jones Jr.,SF,CHI,Knee/Hamstring,20,2122946
Danilo Gallinari,PF,ATL,Knee/Elbow/Achilles/Hamstring/Ankle/Shoulder,10,2118096
Talen Horton-Tucker,SG,LAL,Ankle/Thumb,18,2020126
Andrew Wiggins,SF,GSW,Back/Illness/Knee,5,1996401
Jeremy Lamb,SG,SAC/IND,Hip/Ankle/Knee/Wrist,12,1991385
Terence Davis,SG,SAC,Wrist/Ankle,39,1954065
Victor Oladipo,SG,MIA,Back/Injury Management/Knee,68,1936494
Gary Trent Jr.,SG,TOR,Toe/Ankle/Calf,10,1931034
Christian Wood,C,HOU,Hamstring/Illness/Knee,13,1885056
Gary Harris,SG,ORL,Back/Hamstring/Hand/Ankle,8,1883408
Kyle Kuzma,PF,WAS,Knee/Neck,14,1867825
Russell Westbrook,PG,LAL,Shoulder/Back,4,1778609
Donte DiVincenzo,SG,MIL,Ankle/Foot,34,1773618
Rudy Gay,PF,UTA,Illness/Knee/Heel,22,1760252
Maxi Kleber,PF,DAL,Ankle/Knee/Back,17,1760045
E'Twaun Moore,SG,ORL,Knee,56,1715566
Shai Gilgeous-Alexander,PG,OKC,Ankle/Concussion,25,1705536
Frank Kaminsky,C,PHX,Knee,67,1693128
Josh Giddey,SG,OKC,Hip/Illness,25,1686286
Tobias Harris,PF,PHI,Illness/Hip,3,1654984
Wendell Carter Jr.,C,ORL,Wrist/Ankle/Illness/Hamstring/Leg,20,1630570
Richaun Holmes,C,SAC,Back/Eye,15,1611387
Julius Randle,PF,NYK,Quad,8,1593102
Luka Doncic,PG,DAL,Ankle/Toe,12,1578798
Serge Ibaka,C,MIL/LAC,Illness/Back,14,1564276
Al Horford,C,BOS,Back/Leg,4,1551720
Danny Green,SF,PHI,Finger/Hip/Hamstring,15,1551717
Aaron Gordon,PF,DEN,Hamstring/Foot,7,1508880
Cade Cunningham,PG,DET,Hip/Illness/Abdominal,13,1501734
Will Barton,SG,DEN,Knee/Ankle/Illness/Hamstring/Back,9,1436784
Marcus Smart,PG,BOS,Ankle/Illness/Thigh/Hand,6,1431648
Reggie Bullock,SF,DAL,Hip/Knee/Illness,9,1424930
Cam Reddish,SF,NYK/ATL,Shoulder/Ankle/Wrist,27,1422520
Dejounte Murray,PG,SAS,Illness/Calf/Knee/Wrist,9,1418752
Seth Curry,SG,BKN/PHI,Ankle/Back/Shoulder/Foot,16,1415100
Andre Iguodala,SF,GSW,Injury Management/Back/Hip/Knee,43,1411926
Harrison Barnes,PF,SAC,Foot,5,1398900
Jalen Green,SG,HOU,Hamstring,14,1343654
Isaiah Jackson,PF,IND,Concussion/Ankle/Knee,21,1338297
Vlatko Cancar,PF,DEN,Foot/Illness/Hip,61,1311360
George Hill,PG,MIL,Abdominal/Neck/Knee/Back,24,1287384
Mike Muscala,C,OKC,Ankle,31,1267245
Markieff Morris,PF,MIA,Neck,39,1184196
Clint Capela,C,ATL,Ankle,7,1179552
Nassir Little,SF,POR,Shoulder/Illness/Ankle,40,1171456
Jason Preston,PG,LAC,Foot,82,1050060
Romeo Langford,SG,SAS/BOS,Heel/Hamstring/Groin/Illness/Neck/Ankle/Calf,22,1027608
Evan Mobley,PF,CLE,Ankle/Hip/Elbow,10,1020998
Chris Duarte,SF,IND,Toe/Foot/Shoulder,21,1012760
Coby White,PG,CHI,Toe/Adductor/Ankle,16,1006500
Josh Richardson,SG,SAS/BOS,Calf/Shoulder/Illness/Knee/Foot/Migraine,8,1001325
Anfernee Simons,SG,POR,Quad/Ankle/Illness,23,996028
Hamidou Diallo,SG,DET,Finger/Illness/Face,18,986205
Dennis Schröder,PG,HOU/BOS,Shoulder/Illness/Ankle,15,981679
Pat Connaughton,SG,MIL,Finger,13,980832
Ziaire Williams,SF,MEM,Knee/Ankle/Wrist,20,980185
Kemba Walker,PG,NYK,Knee,10,953173
Isaac Okoro,SG,CLE,Elbow/Hamstring,12,927000
Terry Rozier,PG,CHA,Ankle,5,926136
Trevor Ariza,SF,LAL,Ankle,30,926102
Joel Embiid,C,PHI,Knee/Back/Ribs,3,907455
Zeke Nnaji,PF,DEN,Knee/Hamstring/Ankle,29,904743
Bol Bol,PF,BOS,Foot,33,894240
R.J. Barrett,SG,NYK,Knee/Ankle/Illness,6,892134
Jonas Valanciunas,C,NOP,Ankle/Illness,6,885060
Robert Williams III,C,BOS,Knee/Calf/Toe/Illness,18,883932
Usman Garuba,PF,HOU,Ankle/Wrist/Thigh,28,852075
Jae Crowder,SF,PHX,Ankle/Groin/Wrist,8,838005
P.J. Dozier,PG,BOS/DEN,Knee,35,834632
Jayson Tatum,PF,BOS,Knee,2,807570
Cameron Johnson,SF,PHX,Quad/Ankle,17,790500
Mohamed Bamba,C,ORL,Toe/Ankle/Back,9,782982
Gorgui Dieng,C,ATL,Illness,1,781626
Abdel Nader,SF,PHX,Knee,32,781592
Darius Garland,PG,CLE,Back/Ankle,10,768835
Justise Winslow,SF,POR,Calf/Achilles/Illness,18,762552
Killian Hayes,PG,DET,Head/Adductor/Hip/Thumb,11,736621
Ty Jerome,SG,OKC,Hip,26,734951
Danuel House Jr.,SF,UTA/NYK/HOU,Knee/Illness/Finger/Ankle/Foot,25,727533
P.J. Tucker,PF,MIA,Calf/Knee,9,724140
Tyler Herro,SG,MIA,Knee/Quad/Soreness/Wrist,13,713403
JaMychal Green,PF,DEN,Wrist/Ankle/Elbow,6,706890
Frank Jackson,PG,DET,Back/Ankle,19,706881
Sterling Brown,SG,DAL,Illness/Foot/Ankle,21,706881
Rajon Rondo,PG,CLE/LAL,Ankle/Toe/Hamstring/Illness,24,698372
Luguentz Dort,SG,OKC,Shoulder/Face/Knee/Ankle,31,696660
Kenrich Williams,PF,OKC,Knee/Ankle,28,689640
Nicolas Claxton,C,BKN,Hamstring/Wrist/Illness,29,676170
Malik Beasley,SG,MIN,Ankle/Illness,3,661696
Didi Louzada,SF,POR/NOP,Knee,28,657216
Cole Anthony,PG,ORL,Toe/Ankle,17,654192
LaMarcus Aldridge,PF,BKN,Hip/Ankle/Foot,22,637644
Devonte' Graham,PG,NOP,Knee/Hip/Ankle/Foot,6,632180
Cody Zeller,C,POR,Knee/Quad,21,631764
PJ Washington,PF,CHA,Illness/Elbow/Knee,13,629850
Maurice Harkless,SF,SAC,Ankle/Knee/Hip,11,624650
Solomon Hill,SF,NYK/ATL,Hamstring,19,618030
Keon Johnson,SG,POR/LAC,Ankle/Illness,18,616282
Jeremiah Robinson-Earl,PF,OKC,Foot,25,609182
Louis Williams,SG,ATL,Back/Hip/Hamstring/Ankle,11,603456
Jakob Poeltl,C,SAS,Back/Concussion,7,603444
Luke Kennard,SG,LAC,Hamstring/Ankle/Hip,3,585160
Kyle Anderson,PF,MEM,Back,6,571100
Lonnie Walker IV,SG,SAS,Back/Illness/Knee,9,562386
Cedi Osman,SF,CLE,Back,5,560916
Royce O'Neale,SF,UTA,Thumb/Knee/Foot,5,556325
Goga Bitadze,C,IND,Foot/Illness,12,552017
Karl-Anthony Towns,C,MIN,Tailbone,1,545700
Landry Shamet,SG,PHX,Ankle/Foot,10,541425
Josh Okogie,SG,MIN,Quad/Back,11,540362
Carmelo Anthony,PF,LAL,Illness/Hamstring/Back,13,516188
Grayson Allen,SG,MIL,Hip/Illness,8,512666
Monte Morris,PG,DEN,Elbow/Concussion/Knee,5,508570
Scottie Barnes,PF,TOR,Wrist/Knee/Thumb,6,502103
KZ Okpala,SF,OKC/MIA,Wrist/Ankle,24,502005
Shake Milton,SG,PHI,Back/Groin/Ankle,23,498811
Spencer Dinwiddie,PG,DAL/WAS,Injury Management/Knee,3,492610
Steven Adams,C,MEM,Ankle/Calf,2,490610
Mike Conley,PG,UTA,Injury Management/Knee,4,482760
James Bouknight,SG,CHA,Neck/Wrist,9,477520
Jaren Jackson Jr.,PF,MEM,Thigh/Leg/Knee,4,474858
Anthony Edwards,SG,MIN,Knee,4,471056
Brandon Clarke,PF,MEM,Thigh/Hip/Back/Knee,15,470160
Dewayne Dedmon,C,MIA,Ankle/Back/Knee,13,466956
Kyle Lowry,PG,MIA,Soreness/Ankle,2,465243
RJ Hampton,PG,ORL,Knee,14,463260
Jalen McDaniels,SF,CHA,Ankle,19,461025
Yuta Watanabe,SF,TOR,Quad/Calf,23,445764
Kevin Porter Jr.,PG,HOU,Ankle/Illness/Thigh,19,430290
Jordan Clarkson,SG,UTA,Knee/Back,3,428274
Furkan Korkmaz,SG,PHI,Knee/Illness/Wrist,7,425712
Cory Joseph,PG,DET,Back/Knee,7,423270
Frank Ntilikina,PG,DAL,Illness/Ankle/Thigh/Calf,17,421603
Mason Plumlee,C,CHA,Calf,4,420903
Dean Wade,PF,CLE,Knee/Calf/Ankle,22,420045
Aaron Nesmith,SF,BOS,Ankle,10,417380
Quentin Grimes,SG,NYK,Knee,17,411279
Jonathan Kuminga,PF,GSW,Knee,6,408408
Josh Jackson,SG,SAC/DET,Illness/Back,7,402724
Evan Fournier,SG,NYK,Thigh/Ankle,2,394088
Devin Vassell,SG,SAS,Achilles/Back/Quad,8,389440
Nicolas Batum,SF,LAC,Ankle/Back/Achilles,12,382599
Sam Merrill,SG,MEM,Ankle,22,375132
Semi Ojeleye,PF,MIL,Calf,19,370188
Taj Gibson,C,NYK,Illness/Groin,7,366834
Wayne Ellington,SG,LAL,Illness/Hamstring,12,364368
Avery Bradley,PG,LAL,Knee/Hand,7,364368
Terrence Ross,SF,ORL,Knee/Back,2,359195
Alperen Sengun,C,HOU,Leg/Ankle/Illness,10,351025
Killian Tillie,PF,MEM,Knee/Thigh/Back,18,349728
Tyus Jones,PG,MEM,Hand/Finger,3,349424
Udoka Azubuike,C,UTA,Ankle,16,345970
Kelly Oubre Jr.,SF,CHA,Ankle,2,344830
Otto Porter Jr.,SF,GSW,Injury Management/Illness/Back/Foot,15,343350
Malachi Flynn,PG,TOR,Hamstring,15,341330
Jaden Springer,PG,PHI,Groin/Knee/Concussion,10,337279
Trae Young,PG,ATL,Quad/Shoulder/Back,3,334971
Isaiah Livers,SF,DET,Concussion/Foot,24,334180
Trey Burke,PG,DAL,Shoulder,6,325854
Jaden McDaniels,PF,MIN,Ankle/Illness,12,320166
James Johnson,PF,BKN,Illness/Wrist/Shoulder/Knee,8,318822
Vernon Carey Jr.,C,WAS,Calf/Hip,19,314064
De'Anthony Melton,SG,MEM,Groin,3,303654
Hassan Whiteside,C,UTA,Foot/Illness/Back/Concussion/Glute,11,303644
Tre Mann,PG,OKC,Hamstring/Ankle,9,300132
DeMar DeRozan,SF,CHI,Adductor,1,298850
Moritz Wagner,C,ORL,Ribs/Knee/Ankle,11,298140
Willie Cauley-Stein,C,DAL,Illness,6,282756
Tristan Thompson,C,SAC,Illness/Quad,4,279335
Nikola Vucevic,C,CHI,Hamstring,1,275862
Obi Toppin,PF,NYK,Hamstring,5,264060
Santi Aldama,C,MEM,Illness/Foot/Calf,11,263649
Ivica Zubac,C,LAC,Calf,2,259260
JaVale McGee,C,PHX,Illness/Knee,4,258624
Isaiah Hartenstein,C,LAC,Ankle,13,258388
Keita Bates-Diop,SF,SAS,Back/Face/Hamstring/Ankle,12,258388
Gary Payton II,PG,GSW,Knee/Back/Hernia,11,256358
Bobby Portis,PF,MIL,Shoulder/Hamstring,6,249860
Precious Achiuwa,PF,TOR,Shoulder,7,249312
Cody Martin,SF,CHA,Ankle/Illness,8,245880
Chuma Okeke,PF,ORL,Knee/Hip,7,244842
Javonte Green,SG,CHI,Foot/Adductor,13,239825
Dwight Howard,C,LAL,Back/Neck,6,227730
Bruce Brown Jr.,SG,BKN,Illness/Hamstring,3,217752
Nemanja Bjelica,PF,GSW,Undisclosed/Quad/Back,8,216144
Davion Mitchell,PG,SAC,Hand,1,211640
Jalen Smith,PF,IND/PHX,Groin/Illness,5,204968
Darius Bazley,PF,OKC,Knee,8,202202
Matisse Thybulle,SG,PHI,Shoulder,6,195876
Alex Len,C,SAC,Back,5,193032
Daniel Theis,C,HOU,Toe,2,190352
Marquese Chriss,SF,DAL,Illness/Knee,14,187306
Mitchell Robinson,C,NYK,Illness/Back/Ankle/Concussion/Hip Flexor,9,186426
Jalen Johnson,SF,ATL,Concussion/Ankle,6,183426
Franz Wagner,SF,ORL,Ankle,3,172686
Gabriel Deck,F,OKC,Heel,3,169048
Udonis Haslem,PF,MIA,Eye,2,167002
Lamar Stevens,SF,CLE,Knee/Ankle,8,165756
Tony Snell,SG,ATL,Foot,6,164808
DeAndre' Bembry,SF,MIL/BKN,Knee ACL/Thumb/Back,14,162190
Jarred Vanderbilt,PF,MIN,Quad/Illness,4,160923
D.J. Augustin,PG,HOU,Illness,2,160920
Rodney Hood,SF,MIL,Ankle/Achilles/Hamstring/Foot,5,154452
Robert Covington,PF,POR,Knee,1,149144
Anthony Gill,PF,WAS,Calf,8,148308
Dennis Smith Jr.,PG,POR,Elbow/Ankle/Knee,7,143962
Tyrese Maxey,PG,PHI,Quad/Illness,3,134631
Isaiah Roby,PF,OKC,Back/Ankle,7,133185
Xavier Tillman,C,MEM,Leg,4,130860
Vit Krejci,PG,OKC,Ankle,11,127632
Austin Rivers,SG,DEN,Illness/Hip,4,124218
Leandro Bolmaro,SG,MIN,Ankle,4,121725
Chris Boucher,PF,TOR,Back,1,121035
Kelan Martin,SF,IND,Hamstring,7,117348
Dylan Windler,SF,CLE,Knee/Calf/Hip,5,115821
Elijah Hughes,SF,POR/UTA,Thumb/Adductor/Illness,6,113412
Garrett Temple,SG,NOP,Ankle,2,112872
Miye Oni,SG,UTA,Ankle/Illness,5,112695
Torrey Craig,SF,IND,Groin/Illness,2,112140
Jarrett Culver,SG,MEM,Knee,2,110262
Nah'Shon Hyland,PG,DEN,Knee/Illness/Ankle,4,108459
Max Strus,SG,MIA,Quad/Knee,6,105523
Bruno Fernando,C,BOS,Back,2,102450
Andre Drummond,C,BKN/PHI,Illness/Knee/Ankle,3,96614
Robert Woodard II,SG,SAC,Illness/Ankle,3,95964
Tre Jones,PG,SAS,Knee/Mouth,2,95964
Austin Reaves,SG,LAL,Hamstring,10,95724
Isaiah Stewart,C,DET,Ankle,3,94170
Tyrese Haliburton,PG,SAC,Back,2,92496
Naz Reid,C,MIN,Back/Foot,4,92205
Aaron Holiday,PG,PHX/WAS,Ankle/Illness,2,91508
Joshua Primo,SG,SAS,Illness/Wrist,3,90732
Facundo Campazzo,PG,DEN,Illness,2,89080
Damion Lee,SG,GSW,Hip/Shoulder,3,87856
Gabe Vincent,PG,MIA,Toe,5,86337
Daniel Gafford,C,WAS,Neck/Thumb/Quad,4,81960
Thaddeus Young,PF,TOR,Illness,1,81552
Day'Ron Sharpe,C,BKN,Illness/Toe,2,80826
Oshae Brissett,SF,IND,Back/Ankle,4,78232
Herb Jones,SF,NOP,Leg/Concussion,4,78160
Jaylen Nowell,SG,MIN,Ankle/Back,3,71715
Desmond Bane,SG,MEM,Ankle/Quad,2,70110
Brandon Boston Jr,SG,LAC,Illness,5,69134
Justin Holiday,SG,SAC,Illness,1,69040
Dorian Finney-Smith,PF,DAL,Arm/Illness,2,68967
Wesley Matthews,SG,MIL,Hamstring/Toe/Knee,3,67536
Jock Landale,C,SAS,Foot/Concussion/Back,5,63816
Keldon Johnson,SG,SAS,Knee/Back/Ankle,3,61660
CJ Elleby,SF,POR,Hamstring/Ankle,4,61068
Jared Butler,PG,UTA,Ankle/Knee,5,58498
Lance Stephenson,SG,IND,Ankle,6,58465
Matt Thomas,SG,CHI,Leg,4,57558
Luka Garza,C,DET,Ankle,5,53180
Jalen Brunson,PG,DAL,Foot,3,51785
Jeff Green,PF,DEN,Quad,1,51724
Kevin Huerter,SG,ATL,Shoulder,1,48890
Norvel Pelle,PF,UTA,Illness,1,47965
Devontae Cacok,C,SAS,Heel/Undisclosed,14,46090
Rodney McGruder,SG,DET,Hip/Hamstring,3,44584
Nick Richards,C,CHA,Foot,3,43620
Greg Brown III,PF,POR,Eye/Illness/Ankle,4,42544
Moses Moody,SG,GSW,Shoulder,1,40944
Chimezie Metu,C,SAC,Ankle,2,40524
Drew Eubanks,C,POR/SAS,Wrist/Illness,3,40331
Georges Niang,PF,PHI,Knee,2,37932
John Konchar,SG,MEM,Ankle,1,37932
Caleb Martin,SF,MIA,Calf/Knee/Achilles,11,36384
Aleksej Pokusevski,PF,OKC,Illness,1,35784
Jae’Sean Tate,SF,HOU,Ankle,2,34896
Aaron Wiggins,SG,OKC,Illness/Ankle,9,34482
Kris Dunn,PG,POR,Ankle,2,33438
Trendon Watford,PF,POR,Knee,7,30108
Juan Toscano-Anderson,SF,GSW,Ankle,1,29337
Rui Hachimura,PF,WAS,Ankle,1,28254
Isaiah Joe,SG,PHI,Back,1,26172
Isaiah Todd,PF,WAS,Toe,1,25863
Jabari Parker,PF,BOS,Illness,1,25742
Jordan McLaughlin,PG,MIN,Groin,1,22988
Malik Monk,SG,LAL,Groin,1,20566
Terance Mann,SG,LAC,Ankle,1,20490
Boban Marjanovic,C,DAL,Back,1,20115
Nik Stauskas,SG,BOS,Ankle,4,19472
Armoni Brooks,SG,HOU,Ankle,1,17116
Omer Yurtseven,C,MIA,Illness,1,17116
Paul Millsap,PF,PHI,Illness,1,15182
Goran Dragic,PG,BKN,Knee,1,12564
Raul Neto,PG,WAS,Shoulder,1,12008
Cameron Thomas,SG,BKN,Back,1,11703
Ryan Arcidiacono,PG,NYK,Ankle,9,11229
Miles McBride,PG,NYK,Knee,2,10636
Ayo Dosunmu,PG,CHI,Concussion,1,10636
Joe Wieskamp,SF,SAS,Illness,1,10636
Thanasis Antetokounmpo,SF,MIL,Calf,1,9938
Luca Vildoza,PG,MIL,Foot,1,8558
DeMarcus Cousins,C,DEN,Foot,4,6111
DJ Wilson,PF,TOR,Knee,3,3546
Chandler Hutchison,SF,PHX,Knee/Illness,2,0
Theo Pinson,SG,DAL,Finger,22,0
Admiral Schofield,SF,ORL,Knee,2,0
Tyler Cook,PF,CHI,Ankle,7,0
Daulton Hommes,G,NOP,Leg,28,0
Tyrell Terry,PG,MEM,Foot,4,0
Skylar Mays,SG,ATL,Illness,4,0
Cassius Winston,PG,WAS,Hamstring,10,0
Jay Scrubb,SG,LAC,Toe,29,0
Grant Riller,PG,PHI,Shoulder/Knee,26,0
Markus Howard,PG,DEN,Illness/Knee,13,0
Trent Forrest,PG,UTA,Concussion/Wrist/Ankle/Illness,13,0
Malik Fitts,PF,UTA,Wrist/Shoulder,9,0
Brodric Thomas,G,BOS,Back/Shoulder,9,0
David Johnson,PG,TOR,Calf/Illness,8,0
Sandro Mamukelashvili,C,MIL,Illness,2,0
Duane Washington Jr.,PG,IND,Hip,2,0
Terry Taylor,SF,IND,Illness,1,0
McKinley Wright IV,PG,MIN,Elbow,16,0
David Duke Jr.,SG,BKN,Ankle/Hip Flexor,10,0
Aaron Henry,SF,PHI,Illness,1,0
Yves Pons,G,MEM,Thigh/Ankle,22,0
Eugene Omoruyi,SF,DAL,Foot,4,0
Chris Smith,SF,DET,Knee,21,0
Jamorko Pickett,SF,DET,Toe,7,0
Marcus Garrett,PG,MIA,Wrist,2,0
,,,,6442,811078948
