Player (206),Pos.,Team,Injury,Games,Cash EarnedWhile Injured
Bradley Beal,SG,PHX,Back,17,9133420
Ben Simmons,PG,BKN,Back/Hip,13,6097784
Stephen Curry,PG,GSW,Knee,2,5967320
Anfernee Simons,SG,POR,Thumb,18,5264786
Jamal Murray,PG,DEN,Hamstring/Ankle,13,5055570
C.J. McCollum,SG,NOP,Lung,12,4732503
Lonzo Ball,PG,CHI,Knee,21,4704640
Bojan Bogdanovic,SF,DET,Calf,19,4367834
Devin Booker,SG,PHX,Ankle/Foot,8,3932810
Tyler Herro,SG,MIA,Ankle,12,3568956
R.J. Barrett,SG,NYK,Migraine/Illness/Knee,5,3568864
Joe Harris,SG,DET,Shoulder,13,3206896
Markelle Fultz,PG,ORL,Knee,15,2931030
Steven Adams,C,MEM,Knee,19,2896560
Brandon Clarke,PF,MEM,Achilles,19,2873560
Dejounte Murray,PG,ATL,Hamstring,1,2850540
Terry Rozier,PG,CHA,Groin,9,2800623
Monte Morris,PG,DET,Quad,20,2253080
Wendell Carter Jr.,C,ORL,Finger,15,2250000
De'Aaron Fox,PG,SAC,Ankle,5,2248284
Joel Embiid,C,PHI,Hip/Illness,2,2188840
Victor Oladipo,SG,HOU,Knee,17,2172400
Kristaps Porzingis,PF,BOS,Calf/Knee,3,2069900
Donovan Mitchell,SG,CLE,Hamstring,5,2060927
Gabe Vincent,PG,LAL,Knee,17,1991385
Cameron Johnson,SF,BKN,Calf,7,1967770
Kyrie Irving,PG,DAL,Foot,4,1915713
Robert Williams III,C,POR,Knee,12,1862056
Maxi Kleber,PF,DAL,Toe,14,1833322
Luke Kennard,SG,MEM,Knee/Concussion,11,1781808
Darius Garland,PG,CLE,Neck/Hamstring,5,1758888
Cody Martin,SF,CHA,Knee,18,1737920
Marcus Smart,PG,MEM,Ankle,8,1708848
Bam Adebayo,C,MIA,Hip,4,1686213
Rui Hachimura,PF,LAL,Nose/Concussion/Eye,8,1628352
Amen Thompson,PG,HOU,Ankle,13,1518840
Zach LaVine,SG,CHI,Foot,3,1381524
Kevin Durant,SF,PHX,Foot,2,1333545
Jimmy Butler,SF,MIA,Ankle,2,1298390
Trey Lyles,PF,SAC,Calf,13,1287356
Malcolm Brogdon,PG,POR,Hamstring,5,1163790
