Player (206),Pos.,Team,Injury,Games,Cash EarnedWhile Injured
Scoot Henderson,PG,POR,Ankle,9,1066926
Damian Lillard,PG,MIL,Calf,2,1049196
Jarred Vanderbilt,PF,LAL,Heel,20,1040013
Delon Wright,PG,WAS,Knee,11,1036156
Jarrett Allen,C,CLE,Ankle,5,1034487
Isaac Okoro,SG,CLE,Knee,9,1025380
Brandon Ingram,SF,NOP,Knee,3,972225
Nicolas Claxton,C,BKN,Ankle,9,905166
James Bouknight,SG,CHA,Knee,15,893010
Lauri Markkanen,PF,UTA,Hamstring,5,892755
OG Anunoby,SF,TOR,Finger/Leg,4,857144
Terance Mann,SG,LAC,Ankle,6,851018
Khris Middleton,SF,MIL,Achilles/Knee/Injury Management,4,824820
Gary Harris,SG,ORL,Groin,5,821843
Jordan Clarkson,SG,UTA,Thigh/Illness,3,809916
Jrue Holiday,PG,BOS,Ankle,2,803556
Jonathan Isaac,PF,ORL,Ankle/Hamstring,3,800000
Caleb Martin,SF,MIA,Knee,10,781940
Larry Nance Jr.,PF,NOP,Illness/Ribs,6,775138
Mason Plumlee,C,LAC,Knee,13,747136
Deandre Ayton,C,POR,Back,1,746192
Aaron Gordon,PF,DEN,Heel,4,733314
Trey Murphy III,SF,NOP,Knee,19,714322
Kenrich Williams,PF,OKC,Back,10,709780
Chris Paul,PG,GSW,Leg,2,708044
Kobe Bufkin,PG,ATL,Thumb,14,705900
Fred VanVleet,PG,HOU,Thumb,1,703557
Jalen Hood-Schifino,PG,LAL,Knee,15,679552
Alec Burks,SG,DET,Forearm,6,663135
Evan Fournier,SG,NYK,Ankle,2,650244
Draymond Green,PF,GSW,Ankle,2,641420
Gary Trent Jr.,SG,TOR,Foot,3,640002
Gary Payton II,PG,GSW,Calf/Foot/Illness,6,601032
Damion Lee,SG,PHX,Knee,20,595730
Frank Ntilikina,PG,CHA,Leg,18,581200
Shai Gilgeous-Alexander,PG,OKC,Knee,1,575634
Andrew Wiggins,SF,GSW,Finger,2,559320
Markieff Morris,PF,DAL,Illness,1,551100
LeBron James,PF,LAL,Calf,1,547210
Nikola Jokic,C,DEN,Back,1,547210
Gordon Hayward,SF,CHA,Hamstring,1,543102
Caris LeVert,SG,CLE,Knee/Hamstring,4,530502
Vlatko Cancar,PF,DEN,Knee,21,526481
Giannis Antetokounmpo,PF,MIL,Calf,1,524598
Ty Jerome,SG,CLE,Ankle,18,518629
Klay Thompson,SG,GSW,Knee,1,496776
Keegan Murray,PF,SAC,Back,4,483280
Anthony Davis,C,LAL,Hip,1,466668
Dean Wade,PF,CLE,Ankle/Illness,7,459410
Dalen Terry,SG,CHI,Knee,6,423654
Brandon Boston Jr,SG,LAC,Quad,19,422080
Duncan Robinson,SF,MIA,Thumb,2,417332
Herb Jones,SF,NOP,Leg,3,414318
Landry Shamet,SG,WAS,Toe,3,412356
Derrick Rose,PG,MEM,Knee/Ankle,9,404140
Nick Richards,C,CHA,Concussion,6,402304
Ishmail Wainright,SF,POR,Knee/Calf,16,398880
Christian Koloko,C,TOR,Illness,20,395360
Grayson Allen,SG,PHX,Illness/Groin,2,390808
PJ Washington,PF,CHA,Foot,1,387308
Jae Crowder,SF,MIL,Groin/Adductor,11,385770
Jaden McDaniels,PF,MIN,Ankle/Calf,8,381174
Nikola Jovic,SF,MIA,Illness,2,378476
LaMelo Ball,PG,CHA,Ankle,3,375882
Jalen Duren,C,DET,Ankle,7,373335
Kelly Oubre Jr.,SF,PHI,Ribs,10,365596
Precious Achiuwa,PF,TOR,Knee/Groin,6,352380
Jake LaRavia,PF,MEM,Eye/Toe,9,349410
Alex Len,C,SAC,Ankle,9,349030
Jordan McLaughlin,PG,MIN,Knee,13,346658
Keldon Johnson,SG,SAS,Knee,1,344829
Tre Jones,PG,SAS,Hamstring,3,341238
DeMar DeRozan,SF,CHI,Ankle,1,328736
Jaylen Brown,SF,BOS,Illness,1,327688
Tari Eason,PF,HOU,Leg,7,324336
Thaddeus Young,PF,TOR,Illness,4,321839
Doug McDermott,SF,SAS,Illness,1,316092
Jordan Poole,SG,WAS,Ankle,1,315578
Brandon Miller,SF,CHA,Ankle,2,312655
Wesley Matthews,SG,ATL,Calf,8,312290
Anthony Edwards,SG,MIN,Hip,2,311144
Tim Hardaway Jr.,SG,DAL,Back,2,308583
Jaden Ivey,SG,DET,Illness,4,306327
Daniel Gafford,C,WAS,Ankle,2,285104
Jose Alvarado,PG,NOP,Ankle,14,284904
Walker Kessler,C,UTA,Elbow,7,276607
Isaiah Livers,SF,DET,Ankle,14,274352
Alex Caruso,SG,CHI,Toe,3,271840
Devin Vassell,SG,SAS,Adductor/Groin,5,270712
Cameron Thomas,SG,BKN,Ankle,9,257480
Xavier Tillman,C,MEM,Knee,10,244112
Jalen Williams,SF,OKC,Hip,3,235791
Jock Landale,C,HOU,Head,2,229885
Danuel House Jr.,SF,PHI,Quad,3,222948
Dennis Smith Jr.,PG,BKN,Back/Hip,7,217950
Spencer Dinwiddie,PG,BKN,Ankle,1,216748
Pat Connaughton,SG,MIL,Ankle,2,216640
Naji Marshall,SF,NOP,Knee,9,199728
Johnny Davis,SG,WAS,Elbow,2,174168
Jalen Smith,PF,IND,Knee,3,173922
Aaron Nesmith,SF,IND,Wrist,2,161905
Mouhamed Gueye,PF,ATL,Back,12,160850
Dorian Finney-Smith,PF,BKN,Foot,1,153956
Kelly Olynyk,PF,UTA,Shoulder,1,140174
Santi Aldama,C,MEM,Ankle,6,138710
Dereck Lively II,C,DAL,Back/Illness,2,137230
Chris Livingston,SF,MIL,Ankle,5,135114
Nicolas Batum,SF,PHI,Finger,1,134608
Jalen Johnson,SF,ATL,Wrist,4,134496
Tyrese Haliburton,PG,IND,Ankle/Knee,2,133528
Ryan Rollins,SG,WAS,Knee,6,118608
Jae’Sean Tate,SF,HOU,Knee,1,112068
Cam Reddish,SF,LAL,Groin,4,111987
Ayo Dosunmu,PG,CHI,Illness,2,111750
Ziaire Williams,SF,MEM,Hip/Illness,2,110580
Royce O'Neale,SF,BKN,Hip,1,109196
Otto Porter Jr.,SF,TOR,Injury Management,1,108621
Noah Clowney,PF,BKN,Shoulder,3,106536
MarJon Beauchamp,SG,MIL,Ankle/Illness,4,104979
Dru Smith,SG,MIA,Knee,5,103550
Jaylin Williams,C,OKC,Hamstring,5,103446
Haywood Highsmith,F,MIA,Back/Knee,5,98388
Yuta Watanabe,SF,PHX,Quad,4,94402
Eric Gordon,SG,PHX,Shoulder/Knee,2,91850
Kevin Huerter,SG,SAC,Finger,1,90055
Jaden Springer,PG,PHI,Illness,2,89558
Kevin Love,C,MIA,Shoulder,2,88176
Jalen Suggs,SG,ORL,Knee,1,83358
Josh Richardson,SG,MIA,Foot,3,83090
Gradey Dick,SG,TOR,Illness,1,78219
Jaxson Hayes,C,LAL,Elbow/Ankle,3,74658
Sasha Vezenkov,SF,SAC,Thumb,1,72890
Jarace Walker,PF,IND,Illness,1,69650
Jonathan Kuminga,PF,GSW,Knee,1,69114
Seth Curry,SG,DAL,Hip,1,68967
John Konchar,SG,MEM,Hip,2,68965
Corey Kispert,SF,WAS,Ankle,1,64173
Andrew Nembhard,PG,IND,Back,3,61260
Davion Mitchell,PG,SAC,Illness,1,58202
Al Horford,C,BOS,Injury Management,1,57471
Sam Merrill,SG,CLE,Illness,2,57390
Josh Green,SG,DAL,Elbow,1,54774
Taurean Prince,PF,LAL,Knee,1,51908
Anthony Gill,PF,WAS,Hamstring,1,45912
Killian Hayes,PG,DET,Shoulder,1,42609
Quentin Grimes,SG,NYK,Hand,2,41133
Bilal Coulibaly,SF,WAS,Knee,1,38013
Sandro Mamukelashvili,C,SAS,Back,1,34824
Dariq Whitehead,SG,BKN,Foot,1,34092
Bryce McGowens,SG,CHA,Ankle,1,29652
Lonnie Walker IV,SG,BKN,Hamstring,1,26972
Drew Eubanks,C,PHX,Ankle,1,26972
A.J. Griffin,SF,ATL,Illness,1,21339
Andre Jackson Jr.,SG,MIL,Back,1,12868
Trayce Jackson-Davis,PF,GSW,Leg,1,12868
Hunter Tyson,SF,DEN,Illness,1,12868
RJ Hampton,PG,MIA,Knee/Illness,10,0
Nate Hinton,SG,HOU,Ankle,2,0
Kevon Harris,SG,ORL,Knee,2,0
Usman Garuba,PF,GSW,Finger,3,0
Neemias Queta,C,BOS,Foot,8,0
Jay Huff,C,DEN,Ribs,4,0
Keon Ellis,SF,SAC,Ankle,3,0
Jamal Cain,SF,MIA,Illness,1,0
Justin Minaya,F,POR,Illness,1,0
,,,,1216,173433025
